Date,High(°F),Low(°F),Precip.(inch),Snow(inch)
2018-05-04,82.0,57.0,,0.0
2018-05-05,75.0,57.9,0.0,0.0
2018-05-06,66.9,50.0,0.19,0.0
2018-05-07,61.0,48.0,0.0,0.0
2018-05-08,60.1,45.0,0.0,0.0
2018-05-09,63.0,46.0,,0.0
2018-05-10,71.1,48.9,0.0,0.0
2018-05-11,70.0,52.0,0.0,0.0
2018-05-12,53.1,48.9,0.21,0.0
2018-05-13,54.0,48.0,0.0,0.0
2018-05-14,69.1,48.9,0.0,0.0
2018-05-15,84.9,57.9,1.0,0.0
2018-05-16,62.1,50.0,,0.0
2018-05-17,71.1,51.1,0.0,0.0
2018-05-18,64.9,46.9,0.0,0.0
2018-05-19,55.0,46.0,0.2,0.0
2018-05-20,81.0,54.0,0.08,0.0
2018-05-21,80.1,57.0,0.0,0.0
2018-05-22,66.9,54.0,0.03,0.0
2018-05-23,84.0,54.0,0.02,0.0
2018-05-24,68.0,53.1,0.0,0.0
2018-05-25,88.0,54.0,0.0,0.0
2018-05-26,89.1,61.0,,0.0
2018-05-27,61.0,50.0,0.02,0.0
2018-05-28,59.0,50.0,0.06,0.0
2018-05-29,84.9,57.9,0.0,0.0
2018-05-30,69.1,60.1,0.0,0.0
2018-05-31,82.9,55.9,0.0,0.0
2018-06-01,79.0,64.0,0.01,0.0
2018-06-02,81.0,57.0,0.01,0.0
2018-06-03,60.1,50.0,0.0,0.0
2018-06-04,53.1,48.9,0.62,0.0
2018-06-05,61.0,48.9,0.34,0.0
2018-06-06,62.1,53.1,0.0,0.0
2018-06-07,72.0,54.0,0.0,0.0
2018-06-08,81.0,55.0,,0.0
2018-06-09,80.1,62.1,0.0,0.0
2018-06-10,72.0,60.1,0.0,0.0
2018-06-11,64.0,55.9,0.0,0.0
2018-06-12,80.1,54.0,0.0,0.0
2018-06-13,77.0,59.0,,0.0
2018-06-14,79.0,57.0,0.0,0.0
2018-06-15,64.0,54.0,,0.0
2018-06-16,84.9,55.9,0.0,0.0
2018-06-17,81.0,62.1,0.0,0.0
2018-06-18,89.1,66.0,0.13,0.0
2018-06-19,84.0,68.0,0.01,0.0
2018-06-20,84.9,63.0,0.0,0.0
2018-06-21,80.1,64.0,0.0,0.0
2018-06-22,70.0,60.1,0.0,0.0
2018-06-23,64.9,60.1,,0.0
2018-06-24,77.0,59.0,0.26,0.0
2018-06-25,73.9,61.0,0.33,0.0
2018-06-26,79.0,60.1,0.0,0.0
2018-06-27,80.1,63.0,0.09,0.0
2018-06-28,75.9,64.9,1.16,0.0
2018-06-29,90.0,72.0,0.0,0.0
2018-06-30,91.9,75.0,0.0,0.0
2018-07-01,91.9,70.0,0.0,0.0
2018-07-02,84.0,69.1,0.0,0.0
2018-07-03,98.1,73.0,0.01,0.0
2018-07-04,87.1,73.0,0.0,0.0
2018-07-05,93.9,73.9,0.0,0.0
2018-07-06,86.0,64.9,0.35,0.0
2018-07-07,75.0,61.0,0.0,0.0
2018-07-08,81.0,61.0,0.0,0.0
2018-07-09,91.0,64.9,0.0,0.0
2018-07-10,96.1,68.0,,0.0
2018-07-11,75.0,66.0,0.19,0.0
2018-07-12,73.9,64.9,0.0,0.0
2018-07-13,78.1,64.0,0.0,0.0
2018-07-14,75.9,63.0,0.31,0.0
2018-07-15,79.0,66.9,0.01,0.0
2018-07-16,77.0,66.9,0.0,0.0
2018-07-17,91.0,69.1,2.68,0.0
2018-07-18,82.9,69.1,0.06,0.0
2018-07-19,77.0,64.9,0.0,0.0
2018-07-20,79.0,66.0,0.0,0.0
2018-07-21,73.9,63.0,0.0,0.0
2018-07-22,78.1,66.9,0.17,0.0
2018-07-23,86.0,75.0,0.03,0.0
2018-07-24,88.0,73.0,0.0,0.0
2018-07-25,87.1,75.0,0.14,0.0
2018-07-26,86.0,73.0,0.6,0.0
2018-07-27,90.0,71.1,0.0,0.0
2018-07-28,87.1,72.0,0.0,0.0
2018-07-29,84.0,73.9,0.0,0.0
2018-07-30,82.0,70.0,0.0,0.0
2018-07-31,82.0,69.1,0.0,0.0
2018-08-01,84.0,68.0,,0.0
2018-08-02,95.0,75.9,,0.0
2018-08-03,91.0,77.0,0.06,0.0
